2098S,2099S,2099E,2199
1,Hynix,16MB,SLC-512,HY27US08561B,AD73A500,1,7b/512B,,8Bit,Y,Y,Y,Y
2,Hynix,16MB,SLC-512,HY27US08281X,AD73AD73,1,7b/512B,,8Bit,Y,Y,Y,Y
3,Hynix,32MB,SLC-512,HY27SS08561A,AD35AD35,1,7b/512B,,8Bit,Y,Y,Y,Y
4,Hynix,32MB,SLC-512,HY27US08561B,AD75AD75,1,7b/512B,,8Bit,Y,Y,Y,Y
5,Hynix,32MB,SLC-512,HY27US08561B,AD75A500,1,7b/512B,,8Bit,Y,Y,Y,Y
6,Hynix,64MB,SLC-512,HY27US08121A,AD76A500,1,7b/512B,,8Bit,Y,Y,Y,Y
7,Hynix,64MB,SLC-512,HYNIX_128MB,AD46AD46,1,7b/512B,,8Bit,Y,Y,Y,Y
8,Hynix,64MB,SLC-512,HY27US08121A,AD76AD76,1,7b/512B,,8Bit,Y,Y,Y,Y
9,Hynix,64MB,SLC-512,HYNIX_AD36AD36_x8,AD36AD36,1,7b/512B,,8Bit,Y,Y,Y,Y
10,Hynix,64MB,SLC-512,K9K1G08U0A,AD39AD39,1,7b/512B,,8Bit,Y,Y,Y,Y
11,Hynix,128MB,SLC-512,K9F5608U0x,AD79AD79,1,7b/512B,,8Bit,Y,Y,Y,Y
12,Hynix,128MB,SLC-1K,H27U1G8F2C,ADBA90D5,1,16b/1K,,8Bit,Y,Y,Y,Y
13,Hynix,128MB,SLC-2K,HYNIX_128MB,ADB10055,1,16b/1K,,16Bit,Y,,,
14,Hynix,128MB,SLC-512,HYNIX_HY27SS081G1x,AD78A500,1,7b/512B,,8Bit,Y,Y,Y,Y
15,Hynix,128MB,SLC-2K,HYNIX_ADA18015_x8,ADA18015,1,16b/1K,,8Bit,Y,Y,Y,Y
16,Hynix,128MB,SLC-2K,HY27UF081G2A,ADF1801D,1,16b/1K,,8Bit,Y,Y,Y,Y
17,Hynix,128MB,SLC-2K,HYNIX_128MB_16Bit,ADB18055,1,16b/1K,,16Bit,Y,,,
18,Hynix,128MB,SLC-2K,HY27UF081G2M,ADF18015,1,16b/1K,,8Bit,Y,Y,Y,Y
19,Hynix,128MB,SLC-2K,ST_NAND01GW3B2C,ADA10015,1,16b/1K,,8Bit,Y,Y,Y,Y
20,Hynix,128MB,MLC-2K,H27_128MB,ADF1001D,1,16b/1K,,8Bit,Y,Y,Y,Y
21,Hynix,128MB,SLC-512,HY27UAN81G1M,AD79A500,1,7b/512B,,8Bit,Y,Y,Y,Y
22,Hynix,256MB,SLC-512,HY27UAN81G1M,AD71A500,1,7b/512B,,8Bit,Y,Y,Y,Y
23,Hynix,256MB,SLC-2K,H27U2G8T2M,ADDA14A514,1,16b/1K,,8Bit,Y,Y,Y,Y
24,Hynix,256MB,SLC-512,HY27UAN81G1M,AD31A500,1,7b/512B,,8Bit,Y,Y,Y,Y
25,Hynix,256MB,MLC-2K,NUMONYX_ADAA1015,ADAA1015,1,16b/1K,,8Bit,Y,Y,Y,Y
26,Hynix,256MB,SLC-2K,MT29F2G16ABA,ADBA8055,1,16b/1K,,16Bit,Y,,,
27,Hynix,256MB,SLC-2K,HYNIX_HY27SF16G2G2B,ADBA1055,1,16b/1K,,16Bit,Y,,,
28,Hynix,256MB,SLC-2K,HY27UF082G2B,ADDA109544,1,16b/1K,,8Bit,Y,Y,Y,Y
29,Hynix,256MB,SLC-2K,HY27U08AG2_16Bit,ADBA9055,1,16b/1K,,16Bit,Y,,,
30,Hynix,256MB,SLC-2K,H27U2G8F2C,ADDA909545,1,16b/1K,,8Bit,Y,Y,Y,Y
31,Hynix,256MB,MLC-2K,HY27UF082G2A,ADDA801D,1,16b/1K,,8Bit,Y,Y,Y,Y
32,Hynix,256MB,SLC-2K,H27U2G8F2C,ADDA909546,1,33b/1K,,8Bit,Y,Y,Y,Y
33,Hynix,256MB,SLC-2K,MICRON_2CAA9015,ADAA9015,1,16b/1K,,8Bit,Y,Y,Y,Y
34,Hynix,256MB,SLC-2K,H27U2G8F2C,ADDA909544,1,16b/1K,,8Bit,Y,Y,Y,Y
35,Hynix,256MB,SLC-2K,HY27U(F/G)082G2M,ADDA8015,1,16b/1K,,8Bit,Y,Y,Y,Y
36,Hynix,512MB,SLC-2K,H27S4G8F2E,ADAC901556,1,16b/1K,,8Bit,Y,Y,Y,Y
37,Hynix,512MB,SLC-2K,H27U4G8F2D,ADDA909554,1,16b/1K,,8Bit,Y,Y,Y,Y
38,Hynix,512MB,MLC-2K,NUMONYX_ADAA1015,ADAC1015,1,16b/1K,,8Bit,Y,Y,Y,Y
39,Hynix,512MB,SLC-2K,HY27UF084G2M,ADDC8095,1,16b/1K,,8Bit,Y,Y,Y,Y
