2093,2096P,2096,2096PT,2098P,2098E
1,Samsung,32GB,MLC-8K,K9PFG08U5M,EC DE D5 72 58,4CE,24b/1KB,35nm,8bit,N,Y,Y,,,
2,Samsung,16GB,TLC-8K,K9CDG08U5A,EC D7 98 CA,4CE,24b/1KB,32nm,8bit,N,Y,Y,,Y,Y
3,Samsung,16GB,TLC-8K,K9CDG08U5M,EC D7 98 C6,4CE,24b/1KB,42nm,8bit,N,Y,Y,,,
4,Samsung,16GB,MLC-8K,K9HDG08U5M,EC D7 94 72,4CE,24b/1KB,35nm,8bit,Y,Y,Y,,Y,Y
5,Samsung,16GB,MLC-4K,K9MDG08U5M,EC D7 55 B6,4CE,4b/512B,51nm,8bit,Y,Y,Y,,,
6,Samsung,16GB,MLC-4K,K9LEAG8ZUMM,EC D7 99 35,4CE,,51nm,8Bit,Y,Y,Y,,,
7,Samsung,16GB,MLC-8K,K9HDG08U1A,EC DE D5 7A 58,2CE,24b/1KB,,8bit,N,Y,Y,,,
8,Samsung,16GB,TLC-8K,K9CDGD8U5C(Tog),EC D7 98 CE 74 C4,4CE,60/1K,21nm,8bit,N,N,N,,Y,Y
9,Samsung,8GB,TLC-8K,K9CCGD8U5A(Tog),EC D5 98 CE 74 C4,4CE,60/1K,21nm,8bit,N,N,N,,Y,Y
10,Samsung,8GB,TLC-8K,K9ACGD8U0M,EC DE 98 CE 74 C3,1CE,24b/1KB,32nm,8bit,,,,,Y,Y
11,Samsung,8GB,TLC-8K,K9BCG08U1A,EC D7 98 CA,2CE,24b/1KB,32nm,8bit,N,Y,Y,,Y,Y
12,Samsung,8GB,TLC-8K,K9BCG08U1M,EC D7 98 C6,2CE,24b/1KB,42nm,8bit,N,Y,Y,,,
13,Samsung,8GB,MLC-8K,K9LCG08U1M,EC D7 94 72,2CE,24b/1KB,35nm,8bit,Y,Y,Y,,Y,Y
14,Samsung,8GB,MLC-4K,K9HCG08U5M,EC D3 14 A5,4CE,4b/512B,51nm,8Bit,Y,Y,Y,,,
15,Samsung,8GB,MLC-4K,K9HCG08U1D,EC D7 D5 29,2CE,4b/512B,42nm,8Bit,Y,Y,Y,,,
16,Samsung,8GB,MLC-4K,K9HCG08U1M,EC D7 55 B6,2CE,4b/512B,51nm,8Bit,Y,Y,Y,,,
17,Samsung,8GB,MLC-2K,K9MCG08U5M,EC D5 55 25,4CE,4b/512B,60nm,8Bit,Y,Y,Y,,,
18,Samsung,8GB,SLC-4K,K9NCG08U5M,EC D5 51 A6,4CE,1b/512B,51nm,8Bit,Y,Y,Y,,,
19,Samsung,8GB,MLC-8K,K9LCG08U0A,EC DE D5 7A 58,1CE,24b/1KB,,8bit,N,Y,Y,,,
20,Samsung,8GB,TLC-8K,K9BCGD8U1C(Tog),EC D7 98 CE 74 C4,2CE,60/1K,21nm,8bit,N,N,N,,Y,Y
21,Samsung,4GB,TLC-8K,K9BBGD8U1A(Tog),EC D5 98 CE 74 C4,2CE,60/1K,21nm,8bit,N,N,N,,Y,Y
22,Samsung,4GB,TLC-8K,K9ABG08U0A,EC D7 98 CA,1CE,24b/1KB,32nm,8bit,N,Y,Y,,Y,Y
23,Samsung,4GB,TLC-8K,K9ABG08U0M,EC D7 98 C6,1CE,24b/1KB,42nm,8bit,N,Y,Y,,,
