2093E,2098S,2098P,2098E,2099,2099E,2099S
1,Hynix,16MB,SLC-512,HY27US08281X,AD73AD73,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
2,Hynix,32MB,SLC-512,HY27SS08561A,AD35AD35,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
3,Hynix,32MB,SLC-512,HY27US08561B,AD75AD75,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
4,Hynix,64MB,SLC-512,HYNIX_128MB,AD46AD46,1,7b/512B,,16Bit,Y,Y,Y,Y,Y,,
5,Hynix,64MB,SLC-512,HYNIX_AD36AD36_x8,AD36AD36,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
6,Hynix,64MB,SLC-512,HY27US08121A,AD76AD76,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
7,Hynix,128MB,SLC-2K,HYNIX_ADA18015_x8,ADA18015,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
8,Hynix,128MB,SLC-2K,ST_NAND01GW3B2C,ADA10015,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
9,Hynix,128MB,SLC-2K,HYNIX_128MB,ADB10055,1,16b/1K,,16Bit,Y,Y,Y,Y,Y,,
10,Hynix,128MB,SLC-2K,HY27UF081G2M,ADF18015,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
11,Hynix,128MB,SLC-2K,HY27UF081G2A,ADF1801D,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
12,Hynix,128MB,SLC-512,HYNIX_HY27SS081G1x,AD78A500,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
13,Hynix,128MB,SLC-512,HY27UAN81G1M,AD79A500,1,7b/512B,,8Bit,Y,Y,Y,Y,Y,Y,Y
14,Hynix,256MB,SLC-2K,HY27U(F/G)082G2M,ADDA8015,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
15,Hynix,256MB,SLC-2K,H27U2G8F2C,ADDA909544,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
16,Hynix,256MB,SLC-2K,HY27UF082G2B,ADDA109544,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
17,Hynix,256MB,SLC-2K,H27U2G8F2C,ADDA909545,1,16b/1K,,8Bit,Y,Y,Y,Y,Y,Y,Y
