AU6989SN-GT,AU6989SNL,AU6989SNL-B,AU6989SN-GTA,AU6989SN-GTB,AU6989SN-GTC
Samsung,SLC,16M,K9F2808U0M,,1,,,Y,,,
Samsung,SLC,16M,K9F2808U0A,,1,,,Y,,,
Samsung,SLC,16M,K9F2808U0B,,1,,,Y,,,
Samsung,SLC,16M,K9F2808U0C,,1,,,Y,,,
Samsung,SLC,32M,K9F5608U0M,,1,,,Y,,,
Samsung,SLC,32M,K9F5608U0A,,1,,,Y,,,
Samsung,SLC,32M,K9F5608U0B,,1,,,Y,,,
Samsung,SLC,32M,K9F5608U0C,,1,,,Y,,,
Samsung,SLC,64M,K9F1208U0M,,1,,,Y,,,
Samsung,SLC,64M,K9F1208U0A,,1,,,Y,,,
Samsung,SLC,64M,K9F1208U0B,,1,,,Y,,,
Samsung,SLC,64M,K9F1208U0C,,1,,,Y,,,
Samsung,SLC,64M,K9F1208Q0C,,1,,,Y,,,
Samsung,SLC,128M,K9K1G08Q0A,,1,,,Y,,,
Samsung,SLC,128M,K9K1G08U0M,,1,,,Y,,,
Samsung,SLC,128M,K9K1G08U0A,,1,,,Y,,,
Samsung,SLC,256M,K9E2G08U0M,,1,,,Y,,,
Samsung,SLC,256M,K9E2G08U1M,,2,,,Y,,,
Samsung,SLC,128M,K9F1G08U0A,,1,,,Y,,,
Samsung,SLC,128M,K9F1G08R0M,,1,,,Y,,,
Samsung,SLC,128M,K9F1G08R0A,,1,,,Y,,,
Samsung,SLC,256M,K9K2G08U1A,,2,,,Y,,,
Samsung,SLC,128M,K9F1G08U0A,,1,,,Y,,,
Samsung,SLC,128M,K9F1G08R0A,,1,,,Y,,,
Samsung,SLC,256M,K9K2G08Q0M,,1,,,Y,,,
Samsung,SLC,256M,K9K2G08Q0A,,1,,,Y,,,
Samsung,SLC,256M,K9K2G08U0M,,1,,,Y,,,
Samsung,SLC,256M,K9K2G08U0A,,1,,,Y,,,
Samsung,SLC,512M,K9W4G08U1M,,2,,,Y,,,
Samsung,SLC,256M,K9F2G08U0M,,1,,,Y,,,
Samsung,SLC,512M,K9K4G08U0M,,1,,,Y,,,
Samsung,SLC,1G,K9W8G08U1M,,2,,,Y,,,
Samsung,SLC,128M,K9F1G08U0B,,1,,,Y,,,
Samsung,SLC,256M,K9F2G08U0A,,1,,,Y,,,
Samsung,SLC,256M,K9F2G08R0A,,1,,,Y,,,
